Provider Id,Provider Name
10001,SOUTHEAST ALABAMA MEDICAL CENTER
10005,MARSHALL MEDICAL CENTER SOUTH
10006,ELIZA COFFEE MEMORIAL HOSPITAL
10007,MIZELL MEMORIAL HOSPITAL
10008,CRENSHAW COMMUNITY HOSPITAL
10009,HARTSELLE MEDICAL CENTER
10010,MARSHALL MEDICAL CENTER NORTH
10011,ST VINCENT'S EAST
10012,DEKALB REGIONAL MEDICAL CENTER
10015,SOUTHWEST ALABAMA MEDICAL CENTER
10016,SHELBY BAPTIST MEDICAL CENTER
10019,HELEN KELLER MEMORIAL HOSPITAL
10021,DALE MEDICAL CENTER
10022,CHEROKEE MEDICAL CENTER
10023,BAPTIST MEDICAL CENTER SOUTH
10024,JACKSON HOSPITAL & CLINIC INC
10025,GEORGE H. LANIER MEMORIAL HOSPITAL
10027,ELBA GENERAL HOSPITAL
10029,EAST ALABAMA MEDICAL CENTER AND SNF
10032,WEDOWEE HOSPITAL
10033,UNIVERSITY OF ALABAMA HOSPITAL
10034,COMMUNITY HOSPITAL INC
10035,CULLMAN REGIONAL MEDICAL CENTER
10036,ANDALUSIA REGIONAL HOSPITAL
10038,STRINGFELLOW MEMORIAL HOSPITAL
10039,HUNTSVILLE HOSPITAL
10040,GADSDEN REGIONAL MEDICAL CENTER
10043,CHILTON MEDICAL CENTER
10044,MARION REGIONAL MEDICAL CENTER
10045,FAYETTE MEDICAL CENTER
10046,RIVERVIEW REGIONAL MEDICAL CENTER
10047,GEORGIANA HOSPITAL
10049,MEDICAL CENTER ENTERPRISE
10050,ST VINCENTS BLOUNT
10051,GREENE COUNTY HOSPITAL
10052,LAKE MARTIN COMMUNITY HOSPITAL
10054,PARKWAY MEDICAL CENTER
10055,FLOWERS HOSPITAL
10056,ST VINCENT'S BIRMINGHAM
10058,BIBB MEDICAL CENTER
10059,LAWRENCE MEDICAL CENTER
10061,HIGHLANDS MEDICAL CENTER
10062,WIREGRASS MEDICAL CENTER
10065,RUSSELL HOSPITAL
10066,FLORALA MEMORIAL HOSPITAL
10069,MEDICAL CENTER BARBOUR
10073,CLAY COUNTY HOSPITAL
10078,NORTHEAST ALABAMA REGIONAL MED CENTER
10079,ATHENS-LIMESTONE HOSPITAL
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER
10085,DECATUR GENERAL HOSPITAL
10086,NORTHWEST MEDICAL CENTER
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER
10089,WALKER BAPTIST MEDICAL CENTER
10090,PROVIDENCE HOSPITAL
10091,GROVE HILL MEMORIAL HOSPITAL
10092,D C H REGIONAL MEDICAL CENTER
10095,HALE COUNTY HOSPITAL
10097,ELMORE COMMUNITY HOSPITAL
10099,D W MCMILLAN MEMORIAL HOSPITAL
10100,THOMAS HOSPITAL
10101,CITIZENS BAPTIST MEDICAL CENTER
10102,J PAUL JONES HOSPITAL
10103,BAPTIST MEDICAL CENTER-PRINCETON
10104,TRINITY MEDICAL CENTER
10108,PRATTVILLE BAPTIST HOSPITAL
10109,PICKENS COUNTY MEDICAL CENTER
10110,BULLOCK COUNTY HOSPITAL
10112,BRYAN W WHITFIELD MEM HOSP INC
10113,MOBILE INFIRMARY
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM"
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS
10120,MONROE COUNTY HOSPITAL
10125,LAKELAND COMMUNITY HOSPITAL
10126,TROY REGIONAL MEDICAL CENTER
10128,JACKSON MEDICAL CENTER
10129,NORTH BALDWIN INFIRMARY
10130,ST VINCENT'S ST CLAIR
10131,CRESTWOOD MEDICAL CENTER
10138,HILL HOSPITAL OF SUMTER COUNTY
10139,BROOKWOOD MEDICAL CENTER
10144,SPRINGHILL MEDICAL CENTER
10145,NORTHPORT MEDICAL CENTER
10146,JACKSONVILLE MEDICAL CENTER
10148,EVERGREEN MEDICAL CENTER
10149,BAPTIST MEDICAL CENTER EAST
10150,L V STABLER MEMORIAL HOSPITAL
10152,INFIRMARY WEST
10157,SHOALS HOSPITAL
10158,RUSSELLVILLE HOSPITAL
10164,COOSA VALLEY MEDICAL CENTER
10168,JACK HUGHSTON MEMORIAL HOSPITAL
10169,ATMORE COMMUNITY HOSPITAL
20001,PROVIDENCE ALASKA MEDICAL CENTER
20006,MAT-SU REGIONAL MEDICAL CENTER
20008,BARTLETT REGIONAL HOSPITAL
20012,FAIRBANKS MEMORIAL HOSPITAL
20017,ALASKA REGIONAL HOSPITAL
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL
20024,CENTRAL PENINSULA GENERAL HOSPITAL
20026,ALASKA NATIVE MEDICAL CENTER
20027,MT EDGECUMBE HOSPITAL
30001,MARYVALE HOSPITAL
30002,BANNER GOOD SAMARITAN MEDICAL CENTER
30006,TUCSON MEDICAL CENTER
30007,VERDE VALLEY MEDICAL CENTER
30010,CARONDELET ST  MARYS HOSPITAL
30011,CARONDELET ST JOSEPHS HOSPITAL
30012,YAVAPAI REGIONAL MEDICAL CENTER
30013,YUMA REGIONAL MEDICAL CENTER
30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL
30016,CASA GRANDE REGIONAL MEDICAL CENTER
30022,MARICOPA MEDICAL CENTER
30023,FLAGSTAFF MEDICAL CENTER
30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER
30030,PHOENIX BAPTIST HOSPITAL
