Provider Id,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description
10001,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan
10005,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,AL - Birmingham
10006,205 MARENGO STREET,FLORENCE,AL,35631,AL - Birmingham
10007,702 N MAIN ST,OPP,AL,36467,AL - Dothan
10008,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,AL - Montgomery
10009,201 PINE STREET NORTHWEST,HARTSELLE,AL,35640,AL - Birmingham
10010,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,AL - Huntsville
10011,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,AL - Birmingham
10012,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,AL - Birmingham
10015,33700 HIGHWAY 43,THOMASVILLE,AL,36784,AL - Mobile
10016,1000 FIRST STREET NORTH,ALABASTER,AL,35007,AL - Birmingham
10019,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,AL - Birmingham
10021,126 HOSPITAL AVE,OZARK,AL,36360,AL - Dothan
10022,400 NORTHWOOD DR,CENTRE,AL,35960,GA - Rome
10023,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,AL - Montgomery
10024,1725 PINE STREET,MONTGOMERY,AL,36106,AL - Montgomery
10025,4800 48TH ST,VALLEY,AL,36854,AL - Birmingham
10027,987 DRAYTON STREET,ELBA,AL,36323,AL - Dothan
10029,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham
10032,209 NORTH MAIN STREET,WEDOWEE,AL,36278,AL - Birmingham
10033,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham
10034,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,AL - Montgomery
10035,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,AL - Birmingham
10036,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,FL - Pensacola
10038,301 EAST 18TH ST,ANNISTON,AL,36201,AL - Birmingham
10039,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville
10040,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham
10043,1010 LAY DAM ROAD,CLANTON,AL,35045,AL - Birmingham
10044,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MS - Tupelo
10045,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,AL - Tuscaloosa
10046,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham
10047,515 MIRANDA ST,GEORGIANA,AL,36033,AL - Montgomery
10049,400 N EDWARDS STREET,ENTERPRISE,AL,36330,AL - Dothan
10050,150 GILBREATH DRIVE,ONEONTA,AL,35121,AL - Birmingham
10051,509 WILSON AVENUE,EUTAW,AL,35462,AL - Tuscaloosa
10052,201 MARIARDEN ROAD,DADEVILLE,AL,36853,AL - Birmingham
10054,1874 BELTLINE RD SW,DECATUR,AL,35601,AL - Huntsville
10055,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan
10056,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham
10058,208 PIERSON AVE,CENTREVILLE,AL,35042,AL - Tuscaloosa
10059,202 HOSPITAL STREET,MOULTON,AL,35650,AL - Birmingham
10061,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,AL - Huntsville
10062,1200 W MAPLE AVENUE,GENEVA,AL,36340,AL - Dothan
10065,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,AL - Birmingham
10066,24273 FIFTH AVENUE,FLORALA,AL,36442,FL - Pensacola
10069,820 W WASHINGTON ST,EUFAULA,AL,36027,AL - Dothan
10073,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,AL - Birmingham
10078,400 EAST 10TH STREET,ANNISTON,AL,36207,AL - Birmingham
10079,700 WEST MARKET STREET,ATHENS,AL,35611,AL - Huntsville
10083,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,AL - Mobile
10085,1201 7TH STREET SE,DECATUR,AL,35609,AL - Huntsville
